GrainSize,Yield
0.062,12
0.068,14
0.11,29
0.11,37
0.12,19
0.12,84
0.14,105
0.15,81
0.16,75
0.16,120
0.17,100
0.18,71
0.19,31
0.19,160
0.19,260
0.2,50
0.21,37
0.21,60
0.22,55
0.23,31
0.24,87
0.24,170
0.25,180
0.26,130
0.26,145
0.27,37
0.27,200
0.28,76
0.28,160
0.29,198
0.3,89
0.29,420
0.3,330
0.32,120
0.32,270
0.37,150
0.37,380
0.38,205
0.39,240
0.4,260
0.4,370
0.42,405
0.42,580
0.43,560
0.44,570
0.45,330
0.47,410
0.47,670
0.48,200
0.49,580
0.5,700
0.5,860
0.55,680
0.6,12
0.6,250
0.63,260
0.74,400
0.94,550
0.95,500
